3.912980211715557100e-01,3.962853876831550215e-01,3.997086662322052453e-01,4.000768587589403902e-01,3.905267401482631073e-01,3.859452886465629118e-01,3.987908842287741229e-01,3.932709449742742835e-01,3.966742587296538392e-01,4.013846725363652279e-01
3.587052494025482208e-01,3.609561702839255148e-01,3.716650495649044261e-01,3.573821981714853657e-01,3.599096392812194956e-01,3.604800803775582430e-01,3.716843338544692510e-01,3.698118148361737578e-01,3.718697542470779105e-01,3.579718926320205608e-01
3.774932409743785855e-01,3.874368014220934686e-01,3.709835490244768330e-01,3.840275643192906929e-01,3.802910019705198486e-01,3.835400895621611794e-01,3.854289333646890303e-01,3.822496939592300857e-01,3.785355140370486593e-01,3.721747458261734920e-01
3.868721495001524735e-01,3.922232626034076741e-01,3.837826298340436537e-01,3.775962100558382661e-01,3.830563863625990884e-01,3.822555279655740490e-01,3.869122875016962060e-01,3.836058414542977135e-01,3.826783456477025336e-01,3.839634734878991096e-01
3.047966101968838659e-01,3.075630865814804049e-01,3.088935883617711653e-01,3.008639594093594494e-01,2.979304919860103484e-01,2.973536046097466912e-01,3.046149263580271715e-01,3.083985391558103362e-01,3.148832053768866324e-01,2.999447632637204375e-01
3.974752893941765342e-01,4.038833607323758512e-01,4.001623202608944330e-01,4.051052659056095240e-01,3.977407657924039719e-01,3.959079576466710826e-01,4.001705632558668069e-01,4.005639003079887184e-01,3.927112255672033925e-01,3.953177986893650075e-01
4.189175739887568417e-01,4.060176325777665185e-01,4.189290870280883983e-01,4.133151619699477752e-01,4.135475809984482387e-01,4.158256505301379247e-01,4.062749690348316234e-01,4.099788057457873225e-01,4.137621502445333888e-01,4.114721310369215956e-01
3.814772189610770581e-01,3.936330467053278381e-01,3.967105143512995591e-01,3.976896970996861569e-01,3.909240420215703837e-01,3.903201212687021360e-01,3.816136297572951253e-01,3.973450555129068307e-01,3.850417163990546565e-01,3.923487587407548105e-01
3.470632398844271105e-01,3.651660616985570318e-01,3.480359574259480060e-01,3.583664670324834267e-01,3.545858169303174323e-01,3.585323743846883238e-01,3.514739614718897509e-01,3.517378445965467781e-01,3.633929051760818596e-01,3.497898191400730661e-01
4.143549541488805166e-01,4.312144710362155187e-01,4.144537051888121382e-01,4.221770219110305700e-01,4.217962318709317371e-01,4.274948040394463411e-01,4.273160971232377037e-01,4.272978864930310761e-01,4.207708375196723694e-01,4.288889513858590297e-01
3.419577813087009144e-01,3.304904919708104849e-01,3.268481310226659109e-01,3.352465046885180211e-01,3.297902870420723609e-01,3.230635374636101065e-01,3.282186113159845098e-01,3.264614307825033923e-01,3.238994296562333619e-01,3.232053241963226409e-01
3.586002279862648967e-01,3.505805077498516664e-01,3.509597697769424318e-01,3.512826279729608370e-01,3.569358447204788454e-01,3.571517770700342598e-01,3.680598614698940563e-01,3.526722437160891843e-01,3.685942783248065679e-01,3.565795144005974304e-01
